,available,price,minimum_nights,maximum_nights,room_type,accomodates,bedrooms,beds,total_reviews,days_since_review,comment_length,days_since_joined,host_location_country,property_type_kind,no_of_bath,type_of_bath,number_of_amneties
0,0.0,166.66666666666666,1.0,60.0,Hotel room,2.0,1.0,1.0,2.0,1358.5,255.5,4234,Belgium,Private,1.0,Private,33
1,0.0,175.0,1.6666666666666667,1125.0,Hotel room,2.0,1.0,1.0,2.0,619.0,127.0,4234,Belgium,Private,1.0,Private,31
2,1.0,215.0,3.0,1125.0,Entire home/apt,4.0,2.0,2.0,6.0,1694.5,300.1666666666667,4234,Belgium,Entire,1.5,Private,46
3,1.0,200.0,2.0,1125.0,Entire home/apt,4.0,2.0,2.0,15.0,1603.8666666666666,362.8666666666667,4234,Belgium,Entire,1.5,Private,44
4,1.0,150.0,2.0,1125.0,Entire home/apt,4.0,2.0,2.0,120.0,1540.9083333333333,265.26666666666665,3992,Belgium,Entire,2.5,Private,45
5,0.0,85.0,1.0,50.0,Entire home/apt,5.0,1.0,3.0,28.0,2438.25,385.6785714285714,3911,Belgium,Entire,1.0,Private,41
6,1.0,16.0,14.0,365.0,Private room,2.0,1.0,1.0,3.0,1613.0,193.66666666666663,3867,Belgium,Private,2.0,Public,12
7,1.0,16.0,7.0,365.0,Private room,3.0,1.0,2.0,6.0,556.8333333333334,138.83333333333334,3867,Belgium,Private,3.0,Public,16
8,1.0,85.0,2.0,30.0,Entire home/apt,3.0,1.0,2.0,349.0,1752.1432664756446,252.6246418338109,3845,Belgium,Entire,1.0,Private,21
9,1.0,60.0,3.0,90.0,Entire home/apt,3.0,2.0,2.0,65.0,1754.3076923076924,219.3538461538461,3715,Belgium,Entire,1.0,Private,29
10,0.0,50.0,1.0,14.0,Entire home/apt,2.0,1.0,1.0,11.0,1689.0,225.8181818181818,3715,Belgium,Entire,1.0,Private,27
11,1.0,68.0,6.0,365.0,Entire home/apt,2.0,1.0,1.0,22.0,1986.409090909091,240.6818181818182,3700,Belgium,Entire,1.5,Private,23
12,1.0,35.0,1.0,365.0,Private room,2.0,1.0,1.0,108.0,2710.175925925926,284.3981481481481,3703,Belgium,Private,0.5,Public,17
13,1.0,195.0,2.0,21.0,Entire home/apt,4.0,1.0,2.0,2.0,1986.5,87.0,3603,Belgium,Entire,1.0,Private,19
14,1.0,100.0,2.0,365.0,Entire home/apt,5.0,2.0,3.0,91.0,1953.956043956044,231.9010989010989,4042,Belgium,Entire,1.0,Private,40
15,0.0,85.0,2.0,4.0,Private room,2.0,1.0,1.0,34.0,2516.9117647058824,313.1470588235294,3541,Belgium,Private,1.5,Public,19
16,0.0,286.6666666666667,1.6666666666666667,30.0,Entire home/apt,10.0,5.0,5.0,48.0,1525.1458333333333,248.25,3541,Belgium,Entire,2.0,Private,28
17,0.0,85.0,2.0,4.0,Private room,2.0,1.0,1.0,1.0,1814.0,360.0,3541,Belgium,Private,1.0,Public,15
